"","skill_level","used_copilot","task_0_sub_0_valid","task_0_sub_1_valid","task_0_sub_2_valid","task_0_time","task_1_valid","task_1_time","task_1_complexity","task_2_valid","task_2_time","task_3_valid","task_3_time"
"18","beg",TRUE,TRUE,TRUE,TRUE,82.6684392475876,TRUE,709.063631878682,82,FALSE,NA,TRUE,NA
"19","beg",TRUE,TRUE,TRUE,TRUE,87.3737908634004,TRUE,783.028601415929,77,TRUE,684.415672535092,TRUE,327.914038014615
"20","beg",TRUE,TRUE,TRUE,TRUE,84.7980465152371,FALSE,NA,NA,TRUE,651.777833928173,TRUE,266.751182257071
"21","adv",FALSE,TRUE,TRUE,TRUE,115.581951761972,TRUE,795.902015444546,68,TRUE,566.325712353891,TRUE,457.165201968049
"22","adv",FALSE,TRUE,TRUE,TRUE,121.855450752865,TRUE,725.18829959994,63,TRUE,511.277190369416,TRUE,404.545065055832
"23","adv",FALSE,TRUE,TRUE,TRUE,140.248292715618,TRUE,733.941601716854,67,TRUE,604.825063849841,TRUE,384.936595854484
"24","adv",FALSE,TRUE,TRUE,TRUE,110.029073953418,FALSE,NA,NA,TRUE,622.729014694953,TRUE,397.680718964434
"25","adv",FALSE,TRUE,TRUE,TRUE,95.9668687529136,TRUE,865.250626029546,56,TRUE,621.227325357758,TRUE,389.399583317172
"26","adv",FALSE,TRUE,TRUE,TRUE,132.797771350183,TRUE,768.603752098966,76,TRUE,576.302065992938,TRUE,408.068699596348
"27","adv",FALSE,TRUE,TRUE,TRUE,120.78045335878,TRUE,901.568775504113,77,TRUE,466.878094792549,TRUE,404.795390945877
"28","adv",FALSE,TRUE,TRUE,TRUE,155.391358711888,TRUE,775.287792738141,84,TRUE,600.277100350192,TRUE,415.397023690202
"29","adv",FALSE,TRUE,TRUE,TRUE,109.077730958793,TRUE,800.907487477063,81,TRUE,631.652895134044,TRUE,431.77088943671
"30","adv",FALSE,TRUE,TRUE,FALSE,105.029412476968,TRUE,817.732605049331,90,TRUE,568.270258404239,TRUE,442.4567637707
"31","adv",FALSE,TRUE,TRUE,FALSE,114.549685002042,TRUE,851.284328812807,71,TRUE,595.407298066238,TRUE,484.492406944867
"32","adv",FALSE,FALSE,TRUE,TRUE,117.812083892067,TRUE,756.639172270481,74,TRUE,656.833967479544,TRUE,392.635457486192
"33","beg",FALSE,TRUE,TRUE,TRUE,124.885388244966,FALSE,NA,NA,TRUE,414.341870869851,TRUE,464.440521618123
"34","beg",FALSE,TRUE,TRUE,TRUE,122.877337043973,TRUE,789.644011281716,55,TRUE,455.859324215496,TRUE,430.258837950263
"35","beg",FALSE,TRUE,TRUE,FALSE,123.631469189479,FALSE,NA,NA,TRUE,494.804397669869,TRUE,461.017724801093
"36","beg",FALSE,TRUE,TRUE,FALSE,120.034692608733,TRUE,749.810784692157,63,TRUE,438.359880763602,TRUE,448.394710629694
"37","beg",FALSE,TRUE,TRUE,TRUE,132.890484409448,TRUE,809.413408211395,32,TRUE,515.408244816984,TRUE,509.062754384636
"38","beg",FALSE,TRUE,TRUE,TRUE,137.307130917108,TRUE,745.49105022404,47,TRUE,542.737096081596,TRUE,409.760705820225
"39","beg",FALSE,TRUE,TRUE,TRUE,154.746184784447,TRUE,787.400962297611,74,TRUE,512.552114357494,TRUE,376.271825868442
"40","beg",FALSE,TRUE,FALSE,TRUE,125.721173377172,TRUE,827.716704501095,80,FALSE,NA,TRUE,NA
